"","text","display_text_width","is_retweet","is_quote","favorite_count","retweet_count","quote_count"
"1","Siriとかも一切使ったことがないから安易に人工知能の精度に感動する人間の図",38,FALSE,FALSE,0,0,NA
"2","アマプラミュージックでばりばりのカタカナ発音で「マリアナストレンチのエバーアフターをかけて」って言ったら正確に再生されて興奮した人工知能しゅごい、おりこう。",80,FALSE,FALSE,0,0,NA
"3","AI（人工知能）によって作成されたメタリカ風ソングが話題に - amass https://t.co/x01Xth3jhJ @amass_jpより",73,FALSE,FALSE,0,0,NA
"4","@MINAMI373HAMABE 和装も嬉しくって一旦モノクロにしてAI(人工知能)でカラーに復元する実験をしてみました。 https://t.co/XKnejisYoI",44,FALSE,FALSE,0,0,NA
"5","谷口先生の「心を知るための人工知能」！献本していただきました！とても面白い書籍なので、認知科学や人工知能に興味のある方には是非読んでいただきたいです！ https://t.co/bIpJJV4RTL",116,TRUE,FALSE,0,14,NA
"6","技術テーマ群紹介本ですね、教科書的な本、分かりやすい！！流行りをみるにはいいんです、という意見がある。あたらしい人工知能の教科書 プロダクト/サービス開発に必要な基礎知識  https://t.co/EG5DrPKs3G",110,FALSE,FALSE,0,0,NA
"7","コレが読めるレベルの人は読む必要がないかもという意見がある一方でタイトルから受けた内容のイメージと異なっていました。という意見も見られる。人工知能はいかにして強くなるのか?対戦型AIで学ぶ基本のしくみ(ブルーバックス) https://t.co/ExMoCoFrVp",133,FALSE,FALSE,1,0,NA
"8","大喜利人工知能ありがとう https://t.co/KNIPqNiyDW",57,TRUE,FALSE,0,2,NA
"9","人工知能で何ができるのかということをおおまかに知り…という意見が見られるが…、続きはWebで…いちばんやさしい人工知能ビジネスの教本人気講師が教えるAI・機械学習の事業化(「いちばんやさしい教本」) https://t.co/8Mk2UnvmEZ",123,FALSE,FALSE,1,0,NA
"10","成瀬は人工知能でありながら感情表現が豊かな「ユイ」タイプ！　ーあなたをソードアートオンラインのキャラに例えると？【SAOキャラ診断】#SAOキャラ診断#sao_anime https://t.co/z7yCBAVeMw",129,TRUE,FALSE,0,1,NA
"11","リミニストリート、新しいAI（人工知能）アプリケーションでソフトウェアの課題解決にかかる時間を23％短縮 https://t.co/QcPIij8OAP",94,TRUE,FALSE,0,1,NA
"12","【プログラミング素人のはてなブログ】AI・人工知能Expoに行ってきました。 https://t.co/DD9Oi27oOh",62,FALSE,FALSE,1,0,NA
"13","ボードゲームを題材とした古典的なAIの実装からはじめ、深層学習と強化学習を囲碁AIに組み込み、改良していきます。囲碁ボット構築の方法を理解することで、他の人工知能開発にも応用することができるようになります。 // 囲碁ディープラーニングプログラミング  https://t.co/1c4NmatPHG",150,FALSE,FALSE,0,0,NA
"14","AI、IoTに代表されるデジタル技術の浸透は、産業ごとの競争ルールを一変させるのか。//この1冊でまるごとわかる　人工知能＆IoTビジネス2018-19 https://t.co/38VtWBLu9o",100,FALSE,FALSE,0,0,NA
"15","(神・ω・)　ミルクは、(神・∀・)　まじめで(神・ω・)　優しくて(神 ˘ ω ˘ )　なんでもできるのじゃが……(神・ω・)　……実は人工知能なんじゃよ#神様が良い所と悪い所を教えてくれる診断 #shindanmakerhttps://t.co/oQd4eeEB14",140,TRUE,FALSE,0,1,NA
"16","『6/7 ＡＩ（人工知能）関連情報・ニュース・ヘッドライン』ＡＩ（人工知能）関連情報・ニュース｜https://t.co/3E1Hg7SG83",84,TRUE,FALSE,0,1,NA
"17","日経Linux（リナックス） 2017年 11月号 [雑誌] ラズパイで人工知能、付録!Linuxサーバーがゼロからわかる本 https://t.co/EQgWaVbACE",86,FALSE,FALSE,0,0,NA
"18","📎 AI人工知能🏥 体温測定体温測定にかかる時間はわずか60秒。🎳 ランニング時間、歩数、ランニング距離、ランニング消費カロリー、睡眠時間の心拍数を記録🚀🚀",98,TRUE,FALSE,0,39,NA
"19","楽しみながら読む・学ぶ、エンタメ系ビジネス書 、文科系にもおもしろいAI入門書の決定版! //キーワードで読み解く人工知能 『AIの遺電子』から見える未来の世界  https://t.co/3FbMMvjMJd",105,FALSE,FALSE,0,0,NA
"20","75年前の沖縄。1945年 沖縄の老人にアメリカ製のタバコを与える海兵隊員。米海軍軍政府の収容所内にて。白黒写真を、人工知能＋手動補正でカラー化しました。 https://t.co/wFexS5iYkk",118,TRUE,FALSE,0,24,NA
"21","AIを学びたい非ITの人は必読という意見がある一方でさっぱりわからない。という意見も見られる。人工知能はどのようにして「名人」を超えたのか?―――最強の将棋AIポナンザの開発者が教える機械学習・深層学習・強化... https://t.co/xgv8RWodQJ",131,FALSE,FALSE,1,0,NA
"22","人工知能（AI）を活用し10年後には動物実験の9割を減らす方針が示された。人体や環境への害を動物実験を行わず、AIの技術で効率良く調べることができるようになる。これからの時代は、動物の命を犠牲にしない世界を造らなければならないんだ。 https://t.co/Q6SvEBUsmR",140,TRUE,FALSE,0,75,NA
"23","(神・ω・)　オレンジは、(神・∀・)　心が広くて(神・ω・)　包容力があって(神 ˘ ω ˘ )　大人なのじゃが……(神・ω・)　……実は人工知能なんじゃよ#神様が良い所と悪い所を教えてくれる診断 #shindanmakerhttps://t.co/aRRPjecTsVワッターファック",140,TRUE,FALSE,0,1,NA
"24","人工知能とは「最適化」の話である。これはＡＩの技術を調べればわかる。ベンサムの功利主義「最大多数の最大幸福」も「最適化」の話である。最適化の計算には「データ」が必要なのだ。だからＩｏＴでは「あらゆるデータ」を必要とする、その精度は「データの数」で決まるからだ。",140,TRUE,FALSE,0,17,NA
"25","@soraru_red なるほど、私の人工知能にもインプットしとこ。",51,TRUE,FALSE,0,1,NA
"26","#三上弥 です。6 月4日(木)、#AI ＝人工知能を活用した#新型コロナウイルス 対策について報告しました。感染予防に「ＡＩ」を導入することで、「人間」の負担が軽減される分野が出てくるかもしれません。#NHK▼詳細＝動画１週間掲載↓https://t.co/4E55DZ8JDYhttps://t.co/5O8FPuvOTx https://t.co/gVWbmFynu1",140,TRUE,FALSE,0,16,NA
"27","📎 AI人工知能🏥 体温測定体温測定にかかる時間はわずか60秒。🎳 ランニング時間、歩数、ランニング距離、ランニング消費カロリー、睡眠時間の心拍数を記録🚀🚀",98,TRUE,FALSE,0,34,NA
"28","J27:18:09:44 ＡＩ・人工知能で予測する仕組みの早期の実用化を目指す考えを示18:09:48 しました。",80,TRUE,FALSE,0,1,NA
